orig_url,clean_url,status,original_post_text
https://www.factcrescendo.com/clipped-video-of-amit-shah-talking-about-rafale-scam-viral-with-a-false-claim/,https://www.factcrescendo.com/clipped-video-of-amit-shah-talking-about-rafale-scam-viral-with-a-false-claim/,200,
https://www.factcrescendo.com/the-wheel-marks-of-the-rover-shown-in-the-viral-post-are-not-original/amp/,https://www.factcrescendo.com/the-wheel-marks-of-the-rover-shown-in-the-viral-post-are-not-original/,200,
https://www.factcrescendo.com/scripted-video-showing-a-mobile-repair-shop-boy-hacking-girls-mobile-viral/amp/,https://www.factcrescendo.com/scripted-video-showing-a-mobile-repair-shop-boy-hacking-girls-mobile-viral/,200,मोबाइल ठीक करने वाले की करतूत देखो। ये मार्केट में नया आया है अब मोबाइल जिहादी अपने सारे जान पहचान और सारे परिवार में लोगों को बताए। जान पहचान वाले दुकान से ही फोन ठीक करवाओ। pic.twitter.com/OekInNzsvh
https://www.factcrescendo.com/scripted-video-showing-a-muslim-girl-sleeping-in-dirty-water-for-being-pregnant/amp/,https://www.factcrescendo.com/scripted-video-showing-a-muslim-girl-sleeping-in-dirty-water-for-being-pregnant/,200,
https://www.factcrescendo.com/fake-tweet-attributed-to-kareena-kapoor-about-thrashing-people-spreading-hatred/amp/,https://www.factcrescendo.com/fake-tweet-attributed-to-kareena-kapoor-about-thrashing-people-spreading-hatred/,200,
https://www.factcrescendo.com/video-showing-police-brutally-thrashing-a-criminal-is-scripted/amp/,https://www.factcrescendo.com/video-showing-police-brutally-thrashing-a-criminal-is-scripted/,200,पता नहीं ये कहां की वीडियो है लेकिन इन वाहशी पुलिस वालों पर सख्त कार्रवाई होनी चाहिए हुकूमत ने इतनी नफ़रत भर दी है कि लोग हैवानियत पर उतर आए हैं 😢😢 pic.twitter.com/yf66p6ClOi
https://www.factcrescendo.com/president-draupadi-murmu-has-not-given-any-reply-in-the-case-of-seema-haiders-petition-a-video-viral-with-misleading-claims/,https://www.factcrescendo.com/president-draupadi-murmu-has-not-given-any-reply-in-the-case-of-seema-haiders-petition-a-video-viral-with-misleading-claims/,200,
https://www.factcrescendo.com/images-from-2012-nirbhaya-protests-passed-off-as-manipur-violence/amp/,https://www.factcrescendo.com/images-from-2012-nirbhaya-protests-passed-off-as-manipur-violence/,200,
https://www.factcrescendo.com/terrorist-attack-on-bastille-day-celebration-7-years-ago-linked-to-the-recent-riots-in-france/amp/,https://www.factcrescendo.com/terrorist-attack-on-bastille-day-celebration-7-years-ago-linked-to-the-recent-riots-in-france/,200,
https://www.factcrescendo.com/this-sadhu-trapped-in-sex-scandal-is-not-from-india-but-from-srilanka/amp/,https://www.factcrescendo.com/this-sadhu-trapped-in-sex-scandal-is-not-from-india-but-from-srilanka/,200,देखो एक और बाबा हिंदू धर्म की रक्षा करते हुए एक जाता है तो दूसरा आ जाता है। हिंदुत्व को मजबूत करता कट्टर सनातनी बाबा आसाराम और राम रहीम के बाद एक और बाबा मैदान में जुग जुग जिया हो बाबा 😂🤣🤣 pic.twitter.com/UULmPFCilA
https://www.factcrescendo.com/the-incident-of-molestation-of-a-woman-in-2021-bihar-is-being-shared-as-recent/amp/,https://www.factcrescendo.com/the-incident-of-molestation-of-a-woman-in-2021-bihar-is-being-shared-as-recent/,503,
https://www.factcrescendo.com/video-of-massive-landslides-passed-off-as-recent-in-himachal-pradesh/amp/,https://www.factcrescendo.com/video-of-massive-landslides-passed-off-as-recent-in-himachal-pradesh/,503,
https://www.factcrescendo.com/clipped-video-of-delhi-power-minister-announcing-that-there-will-be-no-free-electricity-in-delhi/amp/,https://www.factcrescendo.com/clipped-video-of-delhi-power-minister-announcing-that-there-will-be-no-free-electricity-in-delhi/,503,
https://www.factcrescendo.com/scripted-video-showing-a-man-caught-while-smuggling-tomatoes-viral-on-the-internet/,https://www.factcrescendo.com/scripted-video-showing-a-man-caught-while-smuggling-tomatoes-viral-on-the-internet/,503,
https://www.factcrescendo.com/clipped-video-of-jp-nadda-saying-sanp-and-bicchu-to-pm-modi-viral-with-a-false-claim/amp/,https://www.factcrescendo.com/clipped-video-of-jp-nadda-saying-sanp-and-bicchu-to-pm-modi-viral-with-a-false-claim/,503,
https://www.factcrescendo.com/old-video-of-nitish-kumar-appealing-people-to-vote-for-pm-modi-viral-as-recent/amp/,https://www.factcrescendo.com/old-video-of-nitish-kumar-appealing-people-to-vote-for-pm-modi-viral-as-recent/,503,
